0.25,0.55,0.65,0.75,0.85,0.95,0.281,0
0.25,1,1,1,1,1,0.969,0.125
0.042,1,1,1,1,1,0.875,0.5
0.333,1,1,1,1,0.5,0,0
0.688,1,1,1,1,1,0.125,0
0.359,0.625,0.875,1,1,1,0.875,0
0,0,0,0.25,0.75,1,0.938,0
0,0,0,0,0,0.25,0.563,0
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
1.047132148,2.303690724,2.722543583,3.141396442,3.560249301,3.979102161,1.178023666,0
1.047132148,4.981028,4.981028,4.981028,4.981028,4.981028,4.057637071,0.440264835
0.174522025,4.981028,5.923472645,5.923472645,5.923472645,4.981028,3.664962517,1.761059338
1.396176197,4.981028,5.923472645,7.044237353,5.923473,2.490514001,0,0
2.879613405,4.981028,5.923472645,5.923472645,5.923472645,4.981028,0.523566074,0
1.505252462,3.1131425,4.3583995,4.981028,4.981028,4.981028,3.664962517,0
0,0,0,1.047132148,3.141396442,4.188528589,3.926745552,0
0,0,0,0,0,0.88052967,1.981191755,0
