0.25,0.55,0.65,0.75,0.85,0.95,0.281,0
0.25,1,1,1,1,1,0.969,0.125
0.042,1,1,1,1,1,0.875,0.5
0.333,1,1,1,1,0.5,0,0
0.688,1,1,1,1,1,0.125,0
0.359,0.625,0.875,1,1,1,0.875,0
0,0,0,0.25,0.75,1,0.938,0
0,0,0,0,0,0.25,0.563,0
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
1.410563949,3.103240687,3.667466266,4.231691846,4.795917426,5.360143006,1.586884443,0
1.410563949,6.709810736,6.709810736,6.709810736,6.709810736,6.709810736,5.465935301,0.593069085
0.235093992,6.709810736,7.979352927,7.979352927,7.979352927,6.709810736,4.936973822,2.372276336
1.880751932,6.709810736,7.979352927,9.489105345,7.979352927,3.354905369,0,0
3.879050859,6.709810736,7.979352927,7.979352927,7.979352927,6.709810736,0.705281975,0
2.027685676,4.19363171,5.871084394,6.709810736,6.709810736,6.709810736,4.936973822,0
0,0,0,1.410563949,4.231691846,5.642255795,5.289614807,0
0,0,0,0,0,1.186138169,2.668810878,0
,,,,,,,
246.9997296,,,,,,,
,,,,,,,
1,2,3,4,5,6,7,8
1,3,3,4,5,5,1,0
1,7,7,7,7,7,5,1
1,7,8,8,8,7,5,2
2,7,8,9,8,3,0,0
4,7,8,8,8,7,1,0
2,4,6,7,7,7,5,0
0,0,0,1,4,5,5,0
0,0,0,0,0,1,3,0
